learn,fun,expectations
I want to learn how to visualize data via coding ,working out 6 times a week,"Since it's not considered a computer science course and no coding experience is needed for this course, I expect that I can start learning to code and be helped along the way. "
Be able to turn a large amount of data into useful information.,Poker with the boys.,Be clear with deadlines.
understanding various topic about programming,go to the gym,"make it easy to understand, i’m a first year student taking higher year classes so i am expecting it to be a little harder"
"I want to learn how these statistical models and datasets that we use in this class can be implemented in the real world, and to get better at R and Python programming.",I like to read and I like to play tennis for fun.,My expectations are that the instructor should be able to share the knowledge of this course in an effective manner and be able to help students understand the content in a helpful way.
I want to learn the mechanisms for data analytics and how to use them in real life applications. ,I love to play guitar and basketball during my free time. ,I expect the instructor to thoroughly explain concepts and be open to questions/concerns. 
How to apply R outside of the classroom ,Playing the violin ,Answering my questions in around 2 business days
"From this class, I am most interested in learning and becoming proficient in the R programming language. As a computer science student interested in machine learning (which is closely connected with data science), I understand the value of working with tools for data analysis. Therefore, I most want to learn the R programming language in this class to enhance my data analysis skills and ultimately make me a more successful machine learning researcher.",I love spending time outdoors with my family and friends and playing sports. I especially enjoy playing soccer!,I expect the instructor to provide feedback on my work for future improvements.
I want to learn more about coding and programming because it can be very valuable in the real world. ,"I do taekwondo, mostly sparring! ",That I can learn the material and to communicate well with each other 
healthcare applications,fishing and basketball,proactive with grading
"I want to pursue bioinformatics for my PhD, so I want to learn about big data analysis and machine learning in that context.",Bouldering!,I want to know what typical data pipelines look like and what techniques/methodologies are commonly used throughout industry. I also want to learn how to visualize and properly present data. 
How to approach analyzing and taking action on some sort of data to accomplish a goal.,"Play volleyball, pickleball, run. I like to be outdoors and around people.",To set reasonable expectations and hold true to them.
"I would like to become familiarized with the language R in order to expand my programming capabilities and learn new ways to interact with data. Last semester, I took a MATLAB class that focused on applications to geological sciences. I want to see how R compares and which one I may be more comfortable with. ","I have recently come to enjoy cooking, baking, and mixing drinks. ","Clarity on expectations regarding things like the project and reasonable pacing for the class, not too slow and not super fast. While I'm not inexperienced with programming, I would not call myself proficient in any sense, so a chill approach is welcome. "
Data science knowledge,Travelling,Be available and helpful
Efficient data wrangling,Play Table-Top RPGs,Clear communication and reasonable expectations
I want to further develop my skills in R Studio as well as learn how to use other programming languages.,I like to bake and garden.,I would like the instructor to be accessible for additional questions and office hours. 
"I've used both R and Python before, but I haven't applied them into a data analysis project. I think being able to do so would be a good skill for me to have.","I enjoy going to concerts, potting plants, making banana bread, and reading",To be clear about instructions on assignments/due dates and to be willing to help.
use of python,"Video game, workout",Friendly
Data wrangling,Golf,"Clear communication, timely and constructive feedback on assignments/labs"
"I want to get better at using data in specific programs, such as RStudio.",I love just being outside and enjoying nature.,In-depth explanations and engagement with students.
Excited to learn about the differences between data science and CS,Reading or watching comfort shows,"I hope the instructor is empathetic and fair (not lenient, just fair). I also hope homeworks are reasonable and material is taught comprehensively in class."
I would like to learn how to analyze more complex datasets in R/Rstudio.,"I like to run for fun, it's a way for me to clear my head.",I expect them to be professional and punctual.
Learn how to better use R studio. ,I enjoy watching sports with my friends for fun. ,I hope to have clear instructions on all of our assignments. 
Get better at coding in different circumstances,Tennis,To be patient with my slow coding comprehension
I want to learn how to use R efficiently and to start to understand data science. ,"For fun I like to read, go for walks, and listen to music. ",My expectations for the instructor are that she provides support throughout the course and that the concepts are explained thoroughly. 
I want to learn how to learn how to use R and how to tell if there are hidden trends inside of datasets. ,"In my free time, I like to play basketball with friends. ",My expectations are that the instructor will be open to giving additional help and be an understanding person.
I am looking forward to learning R in this class.,Go to the gym,I expect the instructor to be courteous and punctual.
Types of approaches to handling/analyzing large datasets and how to know which approach to use for different problems,"Counter strike, historical nonfiction reading, Spider-Man media ",
More R! I am a python programmer so I am excited to expand my skill set ,Bake sourdough bread!,
I want to learn how to take better notes and manage my time better. I would like to start reviewing my notes immediately after the class to retain the content better. ,"I really enjoy building legos as a way to destress and relax, but also to use a room decoration :D. Whether its going on walks or to a cafe, I really enjoy doing it with my friends.  ","I want an instructor that I can easily communicate with and without hesitation, reach out immediately. Someone I can trust and approach easily. "
"I want learn some more about the best techniques to deal to data, improve on my data science skills, and learn about different programming tools.","I like playing table tennis, swimming, spending time with friends and family, doing yoga, trying different kinds of coffee drinks, shopping, etc.",I hope the class is fun to go to and will teach me new things about data science :)
I want to learn how to take a dataset and interpret it myself.,"I like to play tennis, play soccer, run, bake, cook, read, and draw.","I expect to be treated with the same respect I give to my instructor. In addition, I would like if my instructor had patience in explaining topics and answering my questions. Sometimes it takes me asking questions that make sense to me to grasp a concept. "
I want to learn how to clean messy data to create visualizations that can be used to analyze and make observations. ,"I'm teaching myself guitar, and I love to read!",Understanding and patience!
I want to be able to code by memory and understand how coding and databases work (I currently don’t know much about coding). ,I enjoy practicing my bass guitar. ,Clear communication and evaluation criteria. 
I'm interested in wanting to advance more of my RStudio and Python skills for the benefit of the startup that I'm trying to pursue which requires heavy coding knowledge in able to create the software. ,"I like lifting weights, watching movies/TV shows, and traveling. My favorite place that I traveled to so far is Paris, France. My favorite movie is ""The Pursuit of Happyness"". I'm also interested in entrepreneurship from trying to create my own startup right now with the benefit of this class teaching me the basic coding skills to do so. ",I hope that the instructor is able to teach in a clear and accessible manner where students are able to grasp the knowledge easily. Going at a somewhat slow pace is important to me because learning coding is like learning a different language where sometimes it takes a long time to understand and remember specific functions as such. 
Im not sure honestly im just excited about the general topic of the course,Play soccer,To provide a positive classroom environment and be willing to support students
Learning how to use knowledge from this class in the real world,Read on my kindle,"Available for help, thorough lectures"
"I want to learn how to code in R and be confident in my ability to use it as a statistical analysis tool in practical situations, especially those related to large sets of data collection. ",I love to dance! I dance with one of the Bollywood fusion dance teams on campus and it is one of the things that makes me happiest :),"I expect clear deadlines with ample amount of time to finish whatever assignment is given to us, as well as meaningful assignments. Please remember that we've got other classes and commitments, and that we're still human, so sickness and exhaustion are bound to happen and are rough points in the semester. I would much rather have a week to complete a meaningful, reasonable length assignment that actually helps my learning than have 5 short random assignments all due when we come the next class day. "
I’m excited to learn how to program using R!,I enjoy playing basketball and ultimate frisbee!,To be engaged with students and be there to support them when needed.
To help develop a newfound interest in stats,video games,
How to view a dataset and understand what data analysis tools to use to best get information from the data,I’m a big reader. I also love hiking!,To clearly explain and demonstrate the course expectations for students. Be available for questions and open to reexplaining concepts when they are unclear
I am excited to learn about various aspects of data science and explore different applications. ,I love to read.,I hope to maximize learning and get help as needed.
